name,source,gender,wikidata,type
Ackerstraße,,,,way
Adlerstraße,,,,way
Ahornstraße,,,,way
Ährenweg,,,,way
Aischweg,,,,way
"Allensteiner Straße",,,,way
"Alte Reutstraße",,,,way
"Am Altengraben",,,,way
"Am Boxwald",,,,way
"Am Buckacker",,,,way
"Am Eschenausteg",,,,way
"Am Europakanal",,,,way
"Am Friedhofsteg",,,,way
"Am Golfplatz",,,,way
"Am Grasgarten",,,,way
"Am Grünen Weg",,,,way
"Am Grünerpark",,,,way
"Am Haselbuck",,,,way
"Am Hasensprung",,,,way
"Am Himmelsweiher",,,,way
"Am Kavierlein",,,,way
"Am Kellerberg",,,,way
"Am Kieselbühl",,,,way
"Am Kirschgarten",,,,way
"Am Kronacher Wald",,,,way
"Am Landgraben",,,,way
"Am Lehmacker",,,,way
"Am Mühlweg",,,,way
"Am Regnitzhang",,,,way
"Am Reichgraben",,,,way
"Am Riedgraben",,,,way
"Am Rosenhölzlein",,,,way
"Am Sandfeld",,,,way
"Am Schallerseck",,,,way
"Am Schmalaugraben",,,,way
"Am Sonnenhof",,,,way
"Am Sonnenhügel",,,,way
"Am Sportboothafen",,,,way
"Am Stadelhof",,,,way
"Am Stadtwald",,,,way
"Am Steineck",,,,way
"Am Stübleacker",,,,way
"Am Vacher Markt",,,,way
"Am Weidiggraben",,,,way
"Am alten Windweg",,,,way
"Am historischen Lokschuppen",,,,way
Amerla,,,,way
"Amerla Reloaded",,,,way
Amselweg,,,,way
Amtsgasse,,,,way
"An der Christuskirche",,,,way
"An der Leiten",,,,way
"An der Martersäule",,,,way
"An der Post",,,,way
"An der Rampe",,,,way
"An der Waldlust",,,,way
"An der Waldschänke",,,,way
Anemonenweg,,,,way
Angerstraße,,,,way
Asternstraße,,,,way
"Atzenhofer Straße",,,,way
"Auf der Fichte",,,,way
"Auf der Schwand",,,,way
Austraße,,,,way
Badsteg,,,,way
Badstraße,,,,way
Bahnhofplatz,,,,relation+way
"Banderbacher Weg",,,,way
Bärengäßchen,,,,way
Bauhofstraße,,,,way
Baumfeldweg,,,,way
Bayernstraße,,,,way
Begonienstraße,,,,way
"Beim Haderlach",,,,way
"Beim Knorr",,,,way
"Beim Korwinkel",,,,way
Berlinstraße,,,,way
"Bernbacher Straße",,,,way
Biberstraße,,,,way
Bienenstraße,,,,way
Binsenweg,,,,way
Birkenstraße,,,,way
"Bisloher Hauptstraße",,,,way
"Bisloher Weg",,,,way
Blumenstraße,,,,way
Blütenstraße,,,,way
"Bodenbacher Straße",,,,way
Bogenstraße,,,,way
Bohnenstraße,,,,way
Böschungsweg,,,,way
Boxbergweg,,,,way
"Boxdorfer Straße",,,,way
"Brandenburger Straße",,,,way
"Braunsbacher Straße",,,,way
"Braunsbacher Weg",,,,way
"Breiter Steig",,,,way
"Bremenstaller Brücke",,,,way
Brettergartenstraße,,,,way
Brückenstraße,,,,way
Brunnenweg,,,,way
Brünnleinsweg,,,,way
Buchenstraße,,,,way
Buchfinkenweg,,,,way
Buckweg,,,,way
Buschweg,,,,way
Bussardstraße,,,,way
"Büsumer Straße",,,,way
Canyon,,,,way
Comödien-Platz,,,,way
Dahlienstraße,,,,way
"Dambacher Straße",,,,way
Dammstraße,,,,way
"Danziger Straße",,,,way
Distelweg,,,,way
Dohlenweg,,,,way
"Dresdener Straße",,,,way
Drosselweg,,,,way
Drudenweg,,,,way
Edelweißweg,,,,way
"Egersdorfer Straße",,,,way
Eggenweg,,,,way
Eibenstraße,,,,way
Eichenstraße,,,,way
Eichhornstraße,,,,way
"Eisenacher Weg",,,,way
Eisenstraße,,,,way
Elsterstraße,,,,way
"Emdener Straße",,,,way
Entensteig,,,,way
Enzianweg,,,,way
"Erfurter Ring",,,,way
Erlenstraße,,,,way
Eschenausteg,,,,way
Espanstraße,,,,way
Eulenstraße,,,,way
Europaallee,,,,way
FROG-Steg,,,,way
Falkenstraße,,,,way
Falterweg,,,,way
Farnstraße,,,,way
Farrnbachweg,,,,way
Fasanenstraße,,,,way
Federgrasweg,,,,way
Feldstraße,,,,way
Felsenkellerweg,,,,way
Fichtenstraße,,,,way
Finkenschlag,,,,way
Finkenstraße,,,,way
Fischerberg,,,,way
Fliederweg,,,,way
Fliegerhorstweg,,,,way
Flößaustraße,,,,way
Flugplatzstraße,,,,way
Flurstraße,,,,way
Föhrenstraße,,,,way
Forsthausstraße,,,,way
Frankenstraße,,,,way
Friedenstraße,,,,way
Friedhofsteg,,,,way
Friedhofweg,,,,way
Frühlingstraße,,,,way
Fuchsstraße,,,,way
Fuchswald,,,,way
"Fürberger Steg",,,,way
"Fürther Freiheit",,,,way
"Fußgänger- und Radunterführung Kapellenstraße",,,,way
Futuriastraße,,,,way
Gartenäckerweg,,,,way
Gartenstraße,,,,way
Geierstraße,,,,way
Geißäckerstraße,,,,way
Geleitsgasse,,,,way
Georgenstraße,,,,way
Geranienweg,,,,way
Gerstenweg,,,,way
Gewendeweg,,,,way
Gießereistraße,,,,way
Ginsterstraße,,,,way
Gladiolenweg,,,,way
Glockenstraße,,,,way
Glückstraße,,,,way
Goethestraße,,,,way
"Gothaer Straße",,,,way
Grasweg,,,,way
"Greifswalder Straße",,,,way
Grillparzerstraße,,,,way
Grundigpark,,,,way
Gründlach,,,,way
"Gründlacher Straße",,,,way
Grüntalstraße,,,,way
Gutenbergstraße,,,,way
Habichtstraße,,,,way
Hagebuttenstraße,,,,way
Hallplatz,,,,way
Hallstraße,,,,way
"Hamburger Straße",,,,way
Händelstraße,,,,way
Hansastraße,,,,way
Hardsteg,,,,way
Hardstraße,,,,way
Hasellohweg,,,,way
Hasenstraße,,,,way
Heckenweg,,,,way
Heidestraße,,,,way
Heiligenstraße,,,,way
Heilstättenstraße,,,,way
Heimgartenstraße,,,,way
Helmplatz,,,,way
Helmstraße,,,,way
Hempeläckerweg,,,,way
Herboldshof,,,,way
"Herboldshofer Straße",,,,way
Herderstraße,,,,way
"Hermannstädter Straße",,,,way
Heubrücke,,,,way
Heuweg,,,,way
"Hiltmannsdorfer Straße",,,,way
"Hintere Straße",,,,way
Hirschenstraße,,,,way
Hirtengasse,,,,way
Hochstraße,,,,way
"Höfleser Hauptstraße",,,,way
"Höfleser Straße",,,,way
"Hollersbacher Straße",,,,way
Holunderweg,,,,way
Holzstraße,,,,way
Hopfenstraße,,,,way
Hornackerweg,,,,way
Hummelstraße,,,,way
"Hüttendorfer Spange",,,,way
"Hüttendorfer Weg",,,,way
Hutweg,,,,way
Igelweg,,,,way
Iltisstraße,,,,way
"Im Grund",,,,way
"Im Stöckig",,,,way
"Im Weller",,,,way
"Im Zennwald",,,,way
"In der Berten",,,,way
"In der Lohe",,,,way
"In der Schmalau",,,,way
Industriestraße,,,,way
"Insterburger Straße",,,,way
Irisweg,,,,way
Jagdstraße,,,,way
Jasminweg,,,,way
"Jenaer Straße",,,,way
Johannisstraße,,,,way
Junkersstraße,,,,way
Jupiterweg,,,,way
Kapellenplatz,,,,way
Kapellenstraße,,,,way
Karmelitenplatz,,,,way
Kastanienweg,,,,way
Kellerweg,,,,way
Kiefernstraße,,,,way
"Kieler Straße",,,,way
Kirchenstraße,,,,way
Kirchenweg,,,,way
"Kirchweihplatz Unterfarrnbach",,,,way
Kleemanngasse,,,,way
Kleeweg,,,,way
Kohlenmarkt,,,,way
"Kolberger Straße",,,,way
"Komotauer Straße",,,,way
"Königsberger Straße",,,,way
Kornblumenstraße,,,,way
Kornstraße,,,,way
Krähenweg,,,,way
Kranichstraße,,,,way
Kreuzsteinweg,,,,way
Kreuzstraße,,,,way
Kriegerheimstraße,,,,way
Krokusweg,,,,way
"Kronacher Brücke",,,,way
"Kronacher Straße",,,,way
"Kronacher Wende",,,,way
"Kronstädter Straße",,,,way
Kuckucksweg,,,,way
Kurgartenstraße,,,,way
Lagerstraße,,,,way
"Lange Straße",,,,way
Laubenweg,,,,way
Lavendelweg,,,,way
Lehenstraße,,,,way
"Leipziger Straße",,,,way
Lerchenstraße,,,,way
"Leyher Straße",,,,way
Libellenweg,,,,way
"Liegnitzer Straße",,,,way
Ligusterweg,,,,way
Lindenstraße,,,,way
Linsenfeld,,,,way
Lohstraße,,,,way
Lortzingstraße,,,,way
"Löwenbräu Trail",,,,way
Löwenplatz,,,,way
"Lübecker Straße",,,,way
Luisentunnel,,,,way
Lupinenweg,,,,way
Magazinstraße,,,,way
Magnolienweg,,,,way
Mainausteg,,,,way
Maistraße,,,,way
Malvenweg,,,,way
"Mannhofer Straße",,,,way
"Marienburger Straße",,,,way
Marienring,,,,way
Marktackerweg,,,,way
Marktplatz,,,,way
Marmaris-Wanderweg,,,,way
Marmarisplatz,,,,way
Marsweg,,,,way
Mauerstraße,,,,way
Meisenweg,,,,way
"Meißener Straße",,,,way
Melissenweg,,,,way
Merkurstraße,,,,way
"Metzer Straße",,,,way
"Mittlere Straße",,,,way
Moggerla,,,,way
Mohnweg,,,,way
Mohrenstraße,,,,way
Mondstraße,,,,way
Moosweg,,,,way
Mörikeweg,,,,way
Moststraße,,,,way
Mottlaustraße,,,,way
Möwenweg,,,,way
Mozartstraße,,,,way
Mühlstraße,,,,way
Mühltalstraße,,,,way
Mühlwiesenweg,,,,way
Narzissenstraße,,,,way
Nelkenweg,,,,way
Neptunweg,,,,way
"Nördlicher Kirchenweg",,,,way
Nordring,,,,way
Nottelbergstraße,,,,way
"Obere Fischerstraße",,,,way
"Obere Straße",,,,way
"Oberfarnbacher Straße",,,,way
"Oberfarrnbacher Straße",,,,way
"Oberfürberger Straße",,,,way
"Obermichelbacher Straße",,,,way
Obstmarkt,,,,way
Oleanderweg,,,,way
"Olivaer Straße",,,,way
Orchideenstraße,,,,way
"Östliche Waldringstraße",,,,way
Oststraße,,,,way
Paisleyplatz,,,,way
Pappelsteig,,,,way
Parkstraße,,,,way
"Peter Landauer-Radweg",,,,way
Pfaffenhecke,,,,way
Pfarrersgässchen,,,,way
Pfarrgasse,,,,way
Pfeiferstraße,,,,way
Pfisterstraße,,,,way
Pflugweg,,,,way
Pickertstraße,,,,way
"Pillauer Straße",,,,way
Pirolweg,,,,way
Platanenweg,,,,way
Plattenweg,,,,way
"Plauener Straße",,,,way
Pommernstraße,,,,way
"Poppenreuther Brücke",,,,way
Praterweg,,,,way
Primelweg,,,,way
Quäkerstraße,,,,way
Quellensteg,,,,way
Quittenweg,,,,way
"Radschnellweg Nürnberg - Fürth",,,,way
Raiffeisenstraße,,,,way
Rainstraße,,,,way
"Regelsbacher Straße",,,,way
"Reichenberger Straße",,,,way
Reichsbodenweg,,,,way
Reiherstraße,,,,way
Rennweg,,,,way
Rezatstraße,,,,way
Riedäckerweg,,,,way
Riemenschneiderstraße,,,,way
"Ritzmannshofer Straße",,,,way
"Rock'n Duro",,,,way
Roggenweg,,,,way
"Ronhofer Hauptstraße",,,,way
"Ronhofer Weg",,,,way
Röntgenstraße,,,,way
Ronwaldstraße,,,,way
Rosenstockweg,,,,way
Rosenstraße,,,,way
Rosmarinweg,,,,way
"Rossittener Straße",,,,way
"Rostocker Straße",,,,way
Rotdornstraße,,,,way
"Rothenberger Weg",,,,way
Ruhsteinweg,,,,way
"Saalfelder Straße",,,,way
"Saarburger Straße",,,,way
Saatweg,,,,way
"Sacker Hauptstraße",,,,way
"Sacker Weg",,,,way
Salzstraße,,,,way
Sandbergstraße,,,,way
Sandleithe,,,,way
Sandweg,,,,way
Saturnring,,,,way
"Schäßburger Straße",,,,way
Schießplatz,,,,way
Schilfweg,,,,way
Schillengraben,,,,way
Schillerstraße,,,,way
Schindelgasse,,,,way
Schirmstraße,,,,way
Schlehenstraße,,,,way
Schleifweg,,,,way
Schlesierstraße,,,,way
Schloßgarten,,,,way
Schloßhof,,,,way
Schloßweg,,,,way
Schneegasse,,,,way
"Schnepfenreuther Straße",,,,way
Schönblick,,,,way
Schreiberstraße,,,,way
Schulstraße,,,,way
Schwabenstraße,,,,way
Schwalbenstraße,,,,way
Schwandweg,,,,way
Schwarzachstraße,,,,way
Schwedenstraße,,,,way
Seeackerstraße,,,,way
Seerosenstraße,,,,way
Seestraße,,,,way
Sichelweg,,,,way
Siedlerstraße,,,,way
"Siegelsdorfer Straße",,,,way
"Siemensstädter Straße",,,,way
Siemensstraße,,,,way
Söldgasse,,,,way
Sommerstraße,,,,way
"Sonneberger Straße",,,,way
Sonnenblumenweg,,,,way
Sonnenstraße,,,,way
Spargelweg,,,,way
Spechtweg,,,,way
Sperberstraße,,,,way
Sperlingstraße,,,,way
Spiegelstraße,,,,way
Spitzackerweg,,,,way
Spitzwiesenstraße,,,,way
Sportplatzstraße,,,,way
"Stadelner Hard",,,,way
"Stadelner Hauptstraße",,,,way
Starenweg,,,,way
Steinach,,,,way
"Steinacher Straße",,,,way
Steinbockstraße,,,,way
Steinbruchweg,,,,way
Steinfeldweg,,,,way
Steingartenweg,,,,way
"Stettiner Straße",,,,way
Stieglitzweg,,,,way
Stiftungsstraße,,,,way
"Stiller Winkel",,,,way
Storchenstraße,,,,way
Straßäckerweg,,,,way
Strudelweg,,,,way
Südweg,,,,way
Südwesttangente,,,,way
Tafelackerstraße,,,,way
Talblick,,,,way
Talpromenade,,,,way
Talweg,,,,way
Tannenstraße,,,,way
Taubenweg,,,,way
Teichstraße,,,,way
Theaterstraße,,,,way
"Tilsiter Straße",,,,way
Tucherstraße,,,,way
Tulpenweg,,,,way
Turnstraße,,,,way
Uferpromenade,,,,way
Uferstraße,,,,way
Ulmenstraße,,,,way
Ulmenweg,,,,way
"Untere Fischerstraße",,,,way
"Untere Straße",,,,way
"Unterer Weiherweg",,,,way
"Unterfarrnbacher Straße",,,,way
Uranusring,,,,way
Uschi,,,,way
